r,J
0.0225965169479466,36.21434387066052
0.022721412440931302,36.094621326303624
0.022846307933916003,35.97542012246398
0.02297120342690071,35.85673695696495
0.023096098919885413,35.73856851867629
0.023220994412870115,35.62091148874947
0.02334588990585482,35.50376254232067
0.023470785398839525,35.38711835063775
0.023595680891824226,35.270975583561814
0.02372057638480893,35.15533091239121
0.023845471877793636,35.04018101295295
0.023970367370778338,34.92552256890384
0.024095262863763043,34.81135227518429
0.024220158356747748,34.69766684156777
0.02434505384973245,34.584462996249215
0.024469949342717155,34.47173748941954
0.02459484483570186,34.35948709677439
0.02471974032868656,34.247708622910714
0.024844635821671263,34.136398904566605
0.024969531314655968,34.02555481366607
0.025094426807640673,33.915173260134175
0.025219322300625374,33.805251194452545
0.025344217793610076,33.69578560993061
0.02546911328659478,33.586773544672795
0.025594008779579486,33.478212083225905
0.025718904272564187,33.37009835789624
0.02584379976554889,33.262429549729795
0.025968695258533594,33.15520288915326
0.0260935907515183,33.04841565627689
0.026218486244503,32.94206518086458
0.026343381737487705,32.83614884197877
0.02646827723047241,32.730664067311636
0.026593172723457112,32.62560833221647
0.026718068216441817,32.52097915845522
0.026842963709426522,32.416774112681495
0.026967859202411223,32.31299080467937
0.02709275469539593,32.20962688538115
0.027217650188380633,32.10668004468823
0.027342545681365335,32.00414800912182
0.02746744117435004,31.902028539330228
0.027592336667334745,31.800319427482265
0.027717232160319447,31.699018494575817
0.027842127653304148,31.598123587692342
0.027967023146288853,31.497632577227918
0.028091918639273558,31.397543354131912
0.02821681413225826,31.297853827183843
0.02834170962524296,31.19856192033841
0.028466605118227666,31.099665570168213
0.02859150061121237,31.001162723431463
0.028716396104197073,30.903051334790675
0.028841291597181774,30.80532936470629
0.02896618709016648,30.707994777526437
0.029091082583151184,30.611045539790872
0.029215978076135886,30.514479618764394
0.029340873569120587,30.41829498121174
0.029465769062105292,30.322489592421405
0.029590664555089997,30.227061415483348
0.0297155600480747,30.132008410820823
0.0298404555410594,30.037328535973383
0.029965351034044106,29.943019745624074
0.03009024652702881,29.84907999186098
0.030215142020013512,29.75550722465948
0.030340037512998214,29.662299392569178
0.03046493300598292,29.56945444358697
0.030589828498967624,29.476970326195417
0.030714723991952325,29.384844990544313
0.030839619484937027,29.293076389752244
0.030964514977921728,29.201662481303817
0.03108941047090643,29.110601228518842
0.031214305963891135,29.019890602069392
